ID,loc_x,loc_y,loc_z,pitch,yaw,roll
0,-115.95296478271484,-142.2391815185547,0.055450439453125,0.0,-179.5574188232422,0.0
1,-121.64685821533203,-140.6814422607422,0.05476617068052292,-0.12157565355300903,-211.82620239257812,0.0
2,-125.56245422363281,-136.35670471191406,0.015396331436932087,-0.5472881197929382,-241.49867248535156,0.0
3,-127.44188690185547,-131.18760681152344,-1.52587890625e-05,0.0,-258.53985595703125,0.0
4,-120.81304168701172,-127.37760162353516,-1.52587890625e-05,0.0,-89.6064453125,0.0
5,-120.06366729736328,-131.7084197998047,0.01216627936810255,0.6542552709579468,-70.49214172363281,0.0
6,-117.9735336303711,-134.73536682128906,0.055450439453125,0.0,-30.113441467285156,0.0
7,-131.31260681152344,-127.4780044555664,-1.52587890625e-05,0.0,90.39353942871094,0.0
8,-136.01174926757812,-135.39390563964844,0.055450439453125,0.0,0.44255056977272034,0.0
9,-133.0260772705078,-133.96063232421875,0.044465918093919754,-0.633495032787323,51.84474182128906,0.0
10,-131.5409393310547,-130.09889221191406,-1.52587890625e-05,0.0,79.1210708618164,0.0
11,-131.65994262695312,-76.91133880615234,-1.52587890625e-05,0.0,90.39353942871094,0.0
12,-128.16001892089844,-76.88729858398438,-1.52587890625e-05,0.0,90.39353942871094,0.0
13,-124.66010284423828,-76.86312866210938,-1.52587890625e-05,360.0,270.3935546875,0.0
14,-124.62576293945312,-81.86300659179688,-1.52587890625e-05,360.0,270.3935546875,0.0
15,-124.59141540527344,-86.8628921508789,-1.52587890625e-05,360.0,270.3935546875,0.0
16,-124.55706787109375,-91.8627700805664,-1.52587890625e-05,360.0,270.3935546875,0.0
17,-124.5227279663086,-96.86265563964844,-1.52587890625e-05,360.0,270.3935546875,0.0
18,-124.48838806152344,-101.86254119873047,-1.52587890625e-05,360.0,270.3935546875,0.0
19,-121.16018676757812,-76.8390884399414,-1.52587890625e-05,360.0,270.3935546875,0.0
20,-121.12584686279297,-81.8389663696289,-1.52587890625e-05,360.0,270.3935546875,0.0
21,-121.09149932861328,-86.83885192871094,-1.52587890625e-05,360.0,270.3935546875,0.0
22,-121.0571517944336,-91.83872985839844,-1.52587890625e-05,360.0,270.3935546875,0.0
23,-121.02281188964844,-96.83861541748047,-1.52587890625e-05,360.0,270.3935546875,0.0
24,-120.98847198486328,-101.8385009765625,-1.52587890625e-05,360.0,270.3935546875,0.0
25,-131.4842529296875,-102.4889907836914,-1.52587890625e-05,0.0,90.39353942871094,0.0
26,-132.62571716308594,-98.78984069824219,-1.5137925402086694e-05,3.526950240484439e-05,125.23182678222656,0.0
27,-135.8321075439453,-96.3188705444336,-1.177519607153954e-06,0.00011008684668922797,154.8040771484375,0.0
28,-140.05128479003906,-95.16371154785156,0.0,0.0,174.57264709472656,0.0
29,-141.54324340820312,-95.10701751708984,0.0,0.0,-179.9136962890625,0.0
30,-141.6127166748047,-88.10710906982422,0.0,360.0,0.0863037109375,0.0
31,-136.20950317382812,-88.77963256835938,0.0,360.0,-15.04815673828125,0.0
32,-131.17514038085938,-90.92300415039062,-4.1408966353628784e-06,359.9998474121094,-31.075302124023438,0.0
33,-126.95069885253906,-94.69141387939453,-1.4748890862392727e-05,359.99993896484375,-54.05841064453125,0.0
34,-124.69669342041016,-99.96331787109375,-1.52587890625e-05,360.0,-79.64340209960938,0.0
35,-131.31280517578125,-127.44971466064453,-1.52587890625e-05,0.0,90.39353942871094,0.0
36,-131.34713745117188,-122.4498291015625,-1.52587890625e-05,0.0,90.39353942871094,0.0
37,-131.38148498535156,-117.449951171875,-1.52587890625e-05,0.0,90.39353942871094,0.0
38,-131.41583251953125,-112.45006561279297,-1.52587890625e-05,0.0,90.39353942871094,0.0
39,-131.45018005371094,-107.45018768310547,-1.52587890625e-05,0.0,90.39353942871094,0.0
40,-127.8128890991211,-127.42567443847656,-1.52587890625e-05,0.0,90.39353942871094,0.0
41,-127.84722900390625,-122.42578887939453,-1.52587890625e-05,0.0,90.39353942871094,0.0
42,-127.88157653808594,-117.42591094970703,-1.52587890625e-05,0.0,90.39353942871094,0.0
43,-127.9159164428711,-112.426025390625,-1.52587890625e-05,0.0,90.39353942871094,0.0
44,-127.95026397705078,-107.4261474609375,-1.52587890625e-05,0.0,90.39353942871094,0.0
45,-124.48441314697266,-102.44092559814453,-1.52587890625e-05,360.0,270.3935546875,0.0
46,-124.4500732421875,-107.44080352783203,-1.52587890625e-05,360.0,270.3935546875,0.0
47,-124.41572570800781,-112.44068145751953,-1.52587890625e-05,360.0,270.3935546875,0.0
48,-124.38138580322266,-117.44056701660156,-1.52587890625e-05,360.0,270.3935546875,0.0
49,-124.3470458984375,-122.4404525756836,-1.52587890625e-05,360.0,270.3935546875,0.0
50,-120.9844970703125,-102.41688537597656,-1.52587890625e-05,360.0,270.3935546875,0.0
51,-120.95015716552734,-107.41676330566406,-1.52587890625e-05,360.0,270.3935546875,0.0
